,entity_id,state,created
1512,sensor.bedroom_entrance_illuminance_lux,0,2021-11-26 01:51:35.840251
1513,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-26 01:51:33.308620
1514,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-26 01:51:33.307078
1515,sensor.0x00158d00066941c9_illuminance_lux,20,2021-11-26 01:51:33.306243
1516,sensor.0x00158d00066941c9_illuminance_lux,27,2021-11-26 01:51:33.304144
1519,device_tracker.chris_phone,home,2021-11-26 01:50:30.177258
1522,binary_sensor.0x00158d00045d21c2_occupancy,off,2021-11-26 01:40:55.076427
1523,binary_sensor.0x00158d00045d21c2_occupancy,on,2021-11-26 01:40:55.074855
1524,sensor.bedroom_entrance_illuminance_lux,0,2021-11-26 01:40:55.072489
1525,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-26 01:40:53.279807
1526,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-26 01:40:53.278834
1527,sensor.0x00158d00066941c9_illuminance_lux,27,2021-11-26 01:40:53.276522
1531,binary_sensor.0x00158d00045d21c2_occupancy,on,2021-11-26 01:39:25.071244
1532,binary_sensor.0x00158d00045d21c2_occupancy,off,2021-11-26 01:39:25.070315
1533,sensor.bedroom_entrance_illuminance_lux,0,2021-11-26 01:39:25.068899
1534,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-26 01:39:23.266298
1535,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-26 01:39:23.265447
1536,sensor.0x00158d00066941c9_illuminance_lux,27,2021-11-26 01:39:23.264737
1537,sensor.0x00158d00066941c9_illuminance_lux,26,2021-11-26 01:39:23.262927
1570,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-26 01:35:43.404762
1571,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-26 01:35:43.403689
1572,sensor.0x00158d00066941c9_illuminance_lux,26,2021-11-26 01:35:43.401333
1574,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-26 01:34:13.408785
1575,sensor.0x00158d00066941c9_illuminance_lux,26,2021-11-26 01:34:13.406468
1577,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-26 01:34:13.394656
1578,sensor.0x00158d00066941c9_illuminance_lux,26,2021-11-26 01:34:13.393280
1579,sensor.0x00158d00066941c9_illuminance_lux,18,2021-11-26 01:34:13.389643
1581,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-26 01:33:00.097520
1582,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-26 01:33:00.095596
1583,sensor.0x00158d00066941c9_illuminance_lux,18,2021-11-26 01:33:00.094518
1584,sensor.0x00158d00066941c9_illuminance_lux,20,2021-11-26 01:33:00.092756
1587,weather.home,partlycloudy,2021-11-26 01:11:40.642514
1588,binary_sensor.0x00158d00045d21c2_occupancy,off,2021-11-26 01:11:26.409221
1589,sensor.bedroom_entrance_illuminance_lux,0,2021-11-26 01:11:26.407475
1593,device_tracker.chris_phone,home,2021-11-26 00:40:20.143300
1596,device_tracker.chris_phone,home,2021-11-26 00:25:16.292420
1598,weather.home,cloudy,2021-11-26 00:12:40.693963
1599,device_tracker.chris_phone,home,2021-11-26 00:11:41.182730
1604,device_tracker.chris_phone,home,2021-11-25 23:55:36.673724
1606,device_tracker.chris_phone,home,2021-11-25 23:54:54.993919
1610,device_tracker.chris_phone,home,2021-11-25 23:40:50.047520
1616,device_tracker.chris_phone,home,2021-11-25 23:25:09.027963
1619,weather.home,cloudy,2021-11-25 23:13:40.693455
1621,device_tracker.chris_phone,home,2021-11-25 23:10:07.476606
1624,device_tracker.chris_phone,home,2021-11-25 22:51:37.674607
1627,device_tracker.chris_phone,home,2021-11-25 22:40:45.621563
1630,device_tracker.chris_phone,home,2021-11-25 22:39:32.269179
1634,device_tracker.chris_phone,home,2021-11-25 22:25:05.507833
1636,device_tracker.chris_phone,home,2021-11-25 22:17:51.099054
1637,binary_sensor.0x00158d0001e4ad46_occupancy,off,2021-11-25 22:15:58.724690
1638,sensor.0x00158d0001e4ad46_illuminance_lux,16,2021-11-25 22:15:58.723912
1639,sensor.0x00158d0001e4ad46_illuminance_lux,17,2021-11-25 22:15:58.722867
1641,weather.home,cloudy,2021-11-25 22:14:40.617653
1644,device_tracker.chris_phone,home,2021-11-25 22:00:11.732925
1647,device_tracker.chris_phone,home,2021-11-25 21:51:42.531981
1650,binary_sensor.0x00158d00045d21c2_occupancy,off,2021-11-25 21:31:24.089332
1651,sensor.bedroom_entrance_illuminance_lux,0,2021-11-25 21:31:24.087806
1654,device_tracker.chris_phone,home,2021-11-25 21:30:42.668092
1655,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-25 21:30:33.055468
1656,sensor.0x00158d00066941c9_illuminance_lux,20,2021-11-25 21:30:33.054708
1657,sensor.0x00158d00066941c9_illuminance_lux,25,2021-11-25 21:30:33.052889
1660,device_tracker.chris_phone,home,2021-11-25 21:30:01.602728
1661,device_tracker.chris_phone,home,2021-11-25 21:28:28.202603
1664,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-25 21:24:24.527258
1665,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-25 21:24:24.526308
1666,sensor.0x00158d00066941c9_illuminance_lux,25,2021-11-25 21:24:24.523911
1668,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-25 21:22:54.515719
